state,registrations
Alabama,"1,450"
Alaska,530
Arizona,"15,000"
Arkansas,520
California,"256,800"
Colorado,"11,700"
Connecticut,"4,450"
Delaware,720
Florida,"25,200"
Georgia,"15,300"
Hawaii,"6,590"
Idaho,"1,080"
Illinois,"12,400"
Indiana,"3,030"
Iowa,"1,090"
Kansas,"1,610"
Kentucky,"1,240"
Louisiana,"1,110"
Maine,750
Maryland,"8,080"
Massachusetts,"9,760"
Michigan,"4,210"
Minnesota,"4,740"
Mississippi,390
Missouri,"3,450"
Montana,500
Nebraska,850
Nevada,"4,810"
New Hampshire,"1,120"
New Jersey,"12,100"
New Mexico,"1,260"
New York,"16,600"
North Carolina,"7,320"
North Dakota,170
Ohio,"6,510"
Oklahoma,"3,290"
Oregon,"12,400"
Pennsylvania,"7,990"
Rhode Island,600
South Carolina,"1,950"
South Dakota,260
Tennessee,"3,980"
Texas,"22,600"
Utah,"5,220"
Vermont,"1,060"
Virginia,"8,370"
Washington,"28,400"
West Virginia,230
Wisconsin,"3,680"
Wyoming,170
