state,population
Alabama,"4,908,620"
Alaska,"734,002"
Arizona,"7,378,490"
Arkansas,"3,039,000"
California,"39,937,500"
Colorado,"5,845,530"
Connecticut,"3,563,080"
Delaware,"982,895"
Florida,"21,993,000"
Georgia,"10,736,100"
Hawaii,"1,412,690"
Idaho,"1,826,160"
Illinois,"12,659,700"
Indiana,"6,745,350"
Iowa,"3,179,850"
Kansas,"2,910,360"
Kentucky,"4,499,690"
Louisiana,"4,645,180"
Maine,"1,345,790"
Maryland,"6,083,120"
Massachusetts,"6,976,600"
Michigan,"10,045,000"
Minnesota,"5,700,670"
Mississippi,"2,989,260"
Missouri,"6,169,270"
Montana,"1,086,760"
Nebraska,"1,952,570"
Nevada,"3,139,660"
New Hampshire,"1,371,250"
New Jersey,"8,936,570"
New Mexico,"2,096,640"
New York,"19,440,500"
North Carolina,"10,611,900"
North Dakota,"761,723"
Ohio,"11,747,700"
Oklahoma,"3,954,820"
Oregon,"4,301,090"
Pennsylvania,"12,820,900"
Rhode Island,"1,056,160"
South Carolina,"5,210,100"
South Dakota,"903,027"
Tennessee,"6,897,580"
Texas,"29,472,300"
Utah,"3,282,120"
Vermont,"628,061"
Virginia,"8,626,210"
Washington,"7,797,100"
West Virginia,"1,778,070"
Wisconsin,"5,851,750"
Wyoming,"567,025"
