id,state,registrations
1,Alabama,"1,450"
2,Alaska,530
3,Arizona,"15,000"
4,Arkansas,520
5,California,"256,800"
6,Colorado,"11,700"
7,Connecticut,"4,450"
8,Delaware,720
9,Florida,"25,200"
10,Georgia,"15,300"
11,Hawaii,"6,590"
12,Idaho,"1,080"
13,Illinois,"12,400"
14,Indiana,"3,030"
15,Iowa,"1,090"
16,Kansas,"1,610"
17,Kentucky,"1,240"
18,Louisiana,"1,110"
19,Maine,750
20,Maryland,"8,080"
21,Massachusetts,"9,760"
22,Michigan,"4,210"
23,Minnesota,"4,740"
24,Mississippi,390
25,Missouri,"3,450"
26,Montana,500
27,Nebraska,850
28,Nevada,"4,810"
29,New Hampshire,"1,120"
30,New Jersey,"12,100"
31,New Mexico,"1,260"
32,New York,"16,600"
33,North Carolina,"7,320"
34,North Dakota,170
35,Ohio,"6,510"
36,Oklahoma,"3,290"
37,Oregon,"12,400"
38,Pennsylvania,"7,990"
39,Rhode Island,600
40,South Carolina,"1,950"
41,South Dakota,260
42,Tennessee,"3,980"
43,Texas,"22,600"
44,Utah,"5,220"
45,Vermont,"1,060"
46,Virginia,"8,370"
47,Washington,"28,400"
48,West Virginia,230
49,Wisconsin,"3,680"
50,Wyoming,170
