id,state,income
1,Alabama,48486
2,Alaska,76715
3,Arizona,56213
4,Arkansas,45726
5,California,71228
6,Colorado,68811
7,Connecticut,76106
8,Delaware,65627
9,Florida,53267
10,Georgia,55679
11,Hawaii,78084
12,Idaho,53089
13,Illinois,63575
14,Indiana,54325
15,Iowa,58580
16,Kansas,57422
17,Kentucky,48392
18,Louisiana,47942
19,Maine,55425
20,Maryland,81868
21,Massachusetts,77378
22,Michigan,54938
23,Minnesota,68411
24,Mississippi,43567
25,Missouri,53560
26,Montana,52559
27,Nebraska,59116
28,Nevada,57598
29,New Hampshire,74057
30,New Jersey,79363
31,New Mexico,48059
32,New York,65323
33,North Carolina,52413
34,North Dakota,63473
35,Ohio,54533
36,Oklahoma,51424
37,Oregon,59393
38,Pennsylvania,59445
39,Rhode Island,63296
40,South Carolina,51015
41,South Dakota,56499
42,Tennessee,50972
43,Texas,59570
44,Utah,68374
45,Vermont,60076
46,Virginia,71564
47,Washington,70116
48,West Virginia,44921
49,Wisconsin,59209
50,Wyoming,62268
