id,state,population
1,Alabama,4908620
2,Alaska,734002
3,Arizona,7378490
4,Arkansas,3039000
5,California,39937500
6,Colorado,5845530
7,Connecticut,3563080
8,Delaware,982895
9,Florida,21993000
10,Georgia,10736100
11,Hawaii,1412690
12,Idaho,1826160
13,Illinois,12659700
14,Indiana,6745350
15,Iowa,3179850
16,Kansas,2910360
17,Kentucky,4499690
18,Louisiana,4645180
19,Maine,1345790
20,Maryland,6083120
21,Massachusetts,6976600
22,Michigan,10045000
23,Minnesota,5700670
24,Mississippi,2989260
25,Missouri,6169270
26,Montana,1086760
27,Nebraska,1952570
28,Nevada,3139660
29,New Hampshire,1371250
30,New Jersey,8936570
31,New Mexico,2096640
32,New York,19440500
33,North Carolina,10611900
34,North Dakota,761723
35,Ohio,11747700
36,Oklahoma,3954820
37,Oregon,4301090
38,Pennsylvania,12820900
39,Rhode Island,1056160
40,South Carolina,5210100
41,South Dakota,903027
42,Tennessee,6897580
43,Texas,29472300
44,Utah,3282120
45,Vermont,628061
46,Virginia,8626210
47,Washington,7797100
48,West Virginia,1778070
49,Wisconsin,5851750
50,Wyoming,567025
